Page Description 1,Page Description 2,Column Description,Category,Subcategory,Tertiary Category,Field,Calculated,SumGroup
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Liabilities,Current Liabilities Payable from Restricted Assets,,Accrued Interest Payable,,Total Current Liabilities Payable from Restricted Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Liabilities,Current Liabilities Payable from Restricted Assets,,,Total Current Liabilities Payable from Restricted Assets,Total Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Liabilities,Long Term Liabilities,,Compensated Absences Payable net of current portion,,Total Long Term Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Liabilities,Long Term Liabilities,,General Obligation Bonds Payable net of current portion,,Total Long Term Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Liabilities,Long Term Liabilities,,Revenue Bonds Payable net of current portion,,Total Long Term Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Liabilities,Long Term Liabilities,,Capital Leases Payable net of current portion,,Total Long Term Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Liabilities,Long Term Liabilities,,Claims Payable net of current portion,,Total Long Term Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Liabilities,Long Term Liabilities,,Other Long Term Liabilities,,Total Long Term Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Liabilities,Long Term Liabilities,,,Total Long Term Liabilities,Total Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Liabilities,,,,Total Liabilities,
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,,,,Total Deferred Inflows of Resources,,
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Net Position,,,Net Investment in Capital Assets,,Total Net Position
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Net Position,,,Restricted,,Total Net Position
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Net Position,,,Unrestricted,,Total Net Position
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Net Position,,,,Total Net Position,
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Operating Revenues,,,Sales,,Total Operating Revenues
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Operating Revenues,,,Charges for Services,,Total Operating Revenues
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Operating Revenues,,,Miscellaneous,,Total Operating Revenues
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Operating Revenues,,,Other Operating Revenues,,Total Operating Revenues
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Operating Revenues,,,,Total Operating Revenues,Operating Income Loss
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Operating Expenses,,,Salaries,,Total Operating Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Operating Expenses,,,Fringe Benefits,,Total Operating Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Operating Expenses,,,Purchased Services,,Total Operating Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Operating Expenses,,,Materials and Supplies,,Total Operating Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Operating Expenses,,,Cost of Sales,,Total Operating Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Operating Expenses,,,Depreciation,,Total Operating Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Operating Expenses,,,Claims,,Total Operating Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Operating Expenses,,,Other Operating Expenses,,Total Operating Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Operating Expenses,,,,Total Operating Expenses,Operating Income Loss
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,,,,,Operating Income Loss,Income Loss before Capital Contributions Special and Extraordinary Items and Transfers
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Non Operating Revenues Expenses,,,Interest and Fiscal Charges,,Total Non Operating Revenues Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Non Operating Revenues Expenses,,,Gain on Sale of Capital Assets,,Total Non Operating Revenues Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Non Operating Revenues Expenses,,,Loss on Sale of Capital Assets,,Total Non Operating Revenues Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Non Operating Revenues Expenses,,,Interest Earnings,,Total Non Operating Revenues Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Non Operating Revenues Expenses,,,Operating Grants,,Total Non Operating Revenues Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Non Operating Revenues Expenses,,,Other Non Operating Revenues,,Total Non Operating Revenues Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Non Operating Revenues Expenses,,,Other Non Operating Expenses,,Total Non Operating Revenues Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Non Operating Revenues Expenses,,,,Total Non Operating Revenues Expenses,Income Loss before Capital Contributions Special and Extraordinary Items and Transfers
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,,,,,Income Loss before Capital Contributions Special and Extraordinary Items and Transfers,Change in Net Position
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,,,,Capital Contributions,,Change in Net Position
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,,,,Special Items,,Change in Net Position
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,,,,Extraordinary Items,,Change in Net Position
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,,,,Transfers In,,Change in Net Position
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,,,,Transfers Out,,Change in Net Position
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,,,,,Change in Net Position,Net Position End of Year
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,,,,Net Position Beginning of Year,,Net Position End of Year
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,,,,,Net Position End of Year,
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,Assets,Current Assets,,Cash and Cash Equivalents,,Total Current Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,Assets,Current Assets,,Investments,,Total Current Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,Assets,Current Assets,Receivables,Accounts,,Total Current Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,Assets,Current Assets,Receivables,Intergovernmental,,Total Current Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,Assets,Current Assets,,Inventory Held for Resale,,Total Current Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,Assets,Current Assets,,Materials and Supplies Inventory,,Total Current Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,Assets,Current Assets,,Prepaid Items,,Total Current Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,Assets,Current Assets,,Interfund Receivable,,Total Current Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,Assets,Current Assets,,Other Assets,,Total Current Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,Assets,Current Assets,,,Total Current Assets,Total Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,Assets,Noncurrent Assets,Restricted Assets,Cash and Cash Equivalents,,Total Noncurrent Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,Assets,Noncurrent Assets,Restricted Assets,Customer Deposits,,Total Noncurrent Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,Assets,Noncurrent Assets,Restricted Assets,Investments,,Total Noncurrent Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,Assets,Noncurrent Assets,Capital Assets,Nondepreciable Capital Assets,,Total Noncurrent Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,Assets,Noncurrent Assets,Capital Assets,Depreciable Capital Assets,,Total Noncurrent Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,Assets,Noncurrent Assets,Capital Assets,Less Accumulated Depreciation,,Total Noncurrent Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,Assets,Noncurrent Assets,,Other Noncurrent Assets,,Total Noncurrent Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,Assets,Noncurrent Assets,,,Total Noncurrent Assets,Total Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,Assets,,,,Total Assets,
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,,,,Total Deferred Outflows of Resources,,
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,Liabilities,Current Liabilities,,Accounts Payable,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,Liabilities,Current Liabilities,,Accrued Wages,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,Liabilities,Current Liabilities,,Intergovernmental Payable,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,Liabilities,Current Liabilities,,Due to Other Funds,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,Liabilities,Current Liabilities,,Compensated Absences Payable,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,Liabilities,Current Liabilities,,Matured Bonds Payable,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,Liabilities,Current Liabilities,,Matured Interest Payable,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,Liabilities,Current Liabilities,,Unearned Revenue,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,Liabilities,Current Liabilities,,General Obligation Bonds Payable,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,Liabilities,Current Liabilities,,Capital Leases Payable,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,Liabilities,Current Liabilities,,Claims Payable,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,Liabilities,Current Liabilities,,Other Current Liabilities,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,Liabilities,Current Liabilities,,,Total Current Liabilities,Total Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,Liabilities,Current Liabilities Payable from Restricted Assets,,Revenue Bonds Payable,,Total Current Liabilities Payable from Restricted Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,Liabilities,Current Liabilities Payable from Restricted Assets,,Accrued Interest Payable,,Total Current Liabilities Payable from Restricted Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,Liabilities,Current Liabilities Payable from Restricted Assets,,,Total Current Liabilities Payable from Restricted Assets,Total Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,Liabilities,Long Term Liabilities,,Compensated Absences Payable net of current portion,,Total Long Term Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,Liabilities,Long Term Liabilities,,General Obligation Bonds Payable net of current portion,,Total Long Term Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,Liabilities,Long Term Liabilities,,Revenue Bonds Payable net of current portion,,Total Long Term Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,Liabilities,Long Term Liabilities,,Capital Leases Payable net of current portion,,Total Long Term Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,Liabilities,Long Term Liabilities,,Claims Payable net of current portion,,Total Long Term Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,Liabilities,Long Term Liabilities,,Other Long Term Liabilities,,Total Long Term Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,Liabilities,Long Term Liabilities,,,Total Long Term Liabilities,Total Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,Liabilities,,,,Total Liabilities,
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,,,,Total Deferred Inflows of Resources,,
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,Net Position,,,Net Investment in Capital Assets,,Total Net Position
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,Net Position,,,Restricted,,Total Net Position
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,Net Position,,,Unrestricted,,Total Net Position
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,Net Position,,,,Total Net Position,
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,Operating Revenues,,,Sales,,Total Operating Revenues
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,Operating Revenues,,,Charges for Services,,Total Operating Revenues
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,Operating Revenues,,,Miscellaneous,,Total Operating Revenues
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,Operating Revenues,,,Other Operating Revenues,,Total Operating Revenues
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,Operating Revenues,,,,Total Operating Revenues,Operating Income Loss
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,Operating Expenses,,,Salaries,,Total Operating Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,Operating Expenses,,,Fringe Benefits,,Total Operating Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,Operating Expenses,,,Purchased Services,,Total Operating Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,Operating Expenses,,,Materials and Supplies,,Total Operating Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,Operating Expenses,,,Cost of Sales,,Total Operating Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,Operating Expenses,,,Depreciation,,Total Operating Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,Operating Expenses,,,Claims,,Total Operating Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,Operating Expenses,,,Other Operating Expenses,,Total Operating Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,Operating Expenses,,,,Total Operating Expenses,Operating Income Loss
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,,,,,Operating Income Loss,Income Loss before Capital Contributions Special and Extraordinary Items and Transfers
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,Non Operating Revenues Expenses,,,Interest and Fiscal Charges,,Total Non Operating Revenues Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,Non Operating Revenues Expenses,,,Gain on Sale of Capital Assets,,Total Non Operating Revenues Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,Non Operating Revenues Expenses,,,Loss on Sale of Capital Assets,,Total Non Operating Revenues Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,Non Operating Revenues Expenses,,,Interest Earnings,,Total Non Operating Revenues Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,Non Operating Revenues Expenses,,,Operating Grants,,Total Non Operating Revenues Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,Non Operating Revenues Expenses,,,Other Non Operating Revenues,,Total Non Operating Revenues Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,Non Operating Revenues Expenses,,,Other Non Operating Expenses,,Total Non Operating Revenues Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,Non Operating Revenues Expenses,,,,Total Non Operating Revenues Expenses,Income Loss before Capital Contributions Special and Extraordinary Items and Transfers
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,,,,,Income Loss before Capital Contributions Special and Extraordinary Items and Transfers,Change in Net Position
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,,,,Capital Contributions,,Change in Net Position
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,,,,Special Items,,Change in Net Position
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,,,,Extraordinary Items,,Change in Net Position
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,,,,Transfers In,,Change in Net Position
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,,,,Transfers Out,,Change in Net Position
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,,,,,Change in Net Position,Net Position End of Year
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,,,,Net Position Beginning of Year,,Net Position End of Year
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Electric,,,,,Net Position End of Year,
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Assets,Current Assets,,Cash and Cash Equivalents,,Total Current Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Assets,Current Assets,,Investments,,Total Current Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Assets,Current Assets,Receivables,Accounts,,Total Current Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Assets,Current Assets,Receivables,Intergovernmental,,Total Current Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Assets,Current Assets,,Inventory Held for Resale,,Total Current Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Assets,Current Assets,,Materials and Supplies Inventory,,Total Current Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Assets,Current Assets,,Prepaid Items,,Total Current Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Assets,Current Assets,,Interfund Receivable,,Total Current Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Assets,Current Assets,,Other Assets,,Total Current Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Assets,Current Assets,,,Total Current Assets,Total Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Assets,Noncurrent Assets,Restricted Assets,Cash and Cash Equivalents,,Total Noncurrent Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Assets,Noncurrent Assets,Restricted Assets,Customer Deposits,,Total Noncurrent Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Assets,Noncurrent Assets,Restricted Assets,Investments,,Total Noncurrent Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Assets,Noncurrent Assets,Capital Assets,Nondepreciable Capital Assets,,Total Noncurrent Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Assets,Noncurrent Assets,Capital Assets,Depreciable Capital Assets,,Total Noncurrent Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Assets,Noncurrent Assets,Capital Assets,Less Accumulated Depreciation,,Total Noncurrent Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Assets,Noncurrent Assets,,Other Noncurrent Assets,,Total Noncurrent Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Assets,Noncurrent Assets,,,Total Noncurrent Assets,Total Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Assets,,,,Total Assets,
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,,,,Total Deferred Outflows of Resources,,
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Liabilities,Current Liabilities,,Accounts Payable,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Liabilities,Current Liabilities,,Accrued Wages,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Liabilities,Current Liabilities,,Intergovernmental Payable,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Liabilities,Current Liabilities,,Due to Other Funds,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Liabilities,Current Liabilities,,Compensated Absences Payable,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Liabilities,Current Liabilities,,Matured Bonds Payable,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Liabilities,Current Liabilities,,Matured Interest Payable,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Liabilities,Current Liabilities,,Unearned Revenue,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Liabilities,Current Liabilities,,General Obligation Bonds Payable,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Liabilities,Current Liabilities,,Capital Leases Payable,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Liabilities,Current Liabilities,,Landfill Closure and Postclosure Payable,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Liabilities,Current Liabilities,,Claims Payable,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Liabilities,Current Liabilities,,Other Current Liabilities,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Liabilities,Current Liabilities,,,Total Current Liabilities,Total Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Liabilities,Current Liabilities Payable from Restricted Assets,,Revenue Bonds Payable,,Total Current Liabilities Payable from Restricted Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Liabilities,Current Liabilities Payable from Restricted Assets,,Accrued Interest Payable,,Total Current Liabilities Payable from Restricted Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Liabilities,Current Liabilities Payable from Restricted Assets,,,Total Current Liabilities Payable from Restricted Assets,Total Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Liabilities,Long Term Liabilities,,Compensated Absences Payable net of current portion,,Total Long Term Liabilities
