Page Description 1,Page Description 2,Column Description,Category,Subcategory,Tertiary Category,Field,Calculated,SumGroup
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Operating Expenses,,,Capital Outlay,,Total Operating Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Operating Expenses,,,Other Operating Expenses,,Total Operating Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Operating Expenses,,,,Total Operating Expenses,Operating Income Loss
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,,,,,Operating Income Loss,Income Loss before Capital Contributions Special and Extraordinary Items and Transfers
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Non Operating Revenues Expenses,,,Interest and Fiscal Charges,,Total Non Operating Revenues Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Non Operating Revenues Expenses,,,Gain on Sale of Capital Assets,,Total Non Operating Revenues Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Non Operating Revenues Expenses,,,Loss on Sale of Capital Assets,,Total Non Operating Revenues Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Non Operating Revenues Expenses,,,Interest,,Total Non Operating Revenues Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Non Operating Revenues Expenses,,,Operating Grants,,Total Non Operating Revenues Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Non Operating Revenues Expenses,,,Other Non Operating Revenues,,Total Non Operating Revenues Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Non Operating Revenues Expenses,,,Other Non Operating Expenses,,Total Non Operating Revenues Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Non Operating Revenues Expenses,,,,Total Non Operating Revenues Expenses,Income Loss before Capital Contributions Special and Extraordinary Items and Transfers
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,,,,,Income Loss before Capital Contributions Special and Extraordinary Items and Transfers,Change in Net Position
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,,,,Capital Contributions,,Change in Net Position
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,,,,Special Items,,Change in Net Position
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,,,,Extraordinary Items,,Change in Net Position
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,,,,Transfers In,,Change in Net Position
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,,,,Transfers Out,,Change in Net Position
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,,,,,Change in Net Position,Net Position End of Year
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,,,,Net Position Beginning of Year,,Net Position End of Year
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,,,,,Net Position End of Year,
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Operating Revenues,,,Sales,,Total Operating Revenues
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Operating Revenues,,,Charges for Services,,Total Operating Revenues
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Operating Revenues,,,Miscellaneous,,Total Operating Revenues
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Operating Revenues,,,Other Operating Revenues,,Total Operating Revenues
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Operating Revenues,,,,Total Operating Revenues,Operating Income Loss
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Operating Expenses,,,Salaries,,Total Operating Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Operating Expenses,,,Fringe Benefits,,Total Operating Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Operating Expenses,,,Purchased Services,,Total Operating Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Operating Expenses,,,Materials and Supplies,,Total Operating Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Operating Expenses,,,Cost of Sales,,Total Operating Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Operating Expenses,,,Depreciation,,Total Operating Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Operating Expenses,,,Claims,,Total Operating Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Operating Expenses,,,Capital Outlay,,Total Operating Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Operating Expenses,,,Other Operating Expenses,,Total Operating Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Operating Expenses,,,,Total Operating Expenses,Operating Income Loss
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,,,,,Operating Income Loss,Income Loss before Capital Contributions Special and Extraordinary Items and Transfers
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Non Operating Revenues Expenses,,,Interest and Fiscal Charges,,Total Non Operating Revenues Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Non Operating Revenues Expenses,,,Gain on Sale of Capital Assets,,Total Non Operating Revenues Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Non Operating Revenues Expenses,,,Loss on Sale of Capital Assets,,Total Non Operating Revenues Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Non Operating Revenues Expenses,,,Interest,,Total Non Operating Revenues Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Non Operating Revenues Expenses,,,Operating Grants,,Total Non Operating Revenues Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Non Operating Revenues Expenses,,,Other Non Operating Revenues,,Total Non Operating Revenues Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Non Operating Revenues Expenses,,,Other Non Operating Expenses,,Total Non Operating Revenues Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Non Operating Revenues Expenses,,,,Total Non Operating Revenues Expenses,Income Loss before Capital Contributions Special and Extraordinary Items and Transfers
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,,,,,Income Loss before Capital Contributions Special and Extraordinary Items and Transfers,Change in Net Position
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,,,,Capital Contributions,,Change in Net Position
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,,,,Special Items,,Change in Net Position
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,,,,Extraordinary Items,,Change in Net Position
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,,,,Transfers In,,Change in Net Position
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,,,,Transfers Out,,Change in Net Position
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,,,,,Change in Net Position,Net Position End of Year
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,,,,Net Position Beginning of Year,,Net Position End of Year
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,,,,,Net Position End of Year,
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Operating Revenues,,,Sales,,Total Operating Revenues
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Operating Revenues,,,Charges for Services,,Total Operating Revenues
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Operating Revenues,,,Miscellaneous,,Total Operating Revenues
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Operating Revenues,,,Other Operating Revenues,,Total Operating Revenues
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Operating Revenues,,,,Total Operating Revenues,Operating Income Loss
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Operating Expenses,,,Salaries,,Total Operating Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Operating Expenses,,,Fringe Benefits,,Total Operating Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Operating Expenses,,,Purchased Services,,Total Operating Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Operating Expenses,,,Materials and Supplies,,Total Operating Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Operating Expenses,,,Cost of Sales,,Total Operating Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Operating Expenses,,,Depreciation,,Total Operating Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Operating Expenses,,,Claims,,Total Operating Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Operating Expenses,,,Capital Outlay,,Total Operating Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Operating Expenses,,,Other Operating Expenses,,Total Operating Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Operating Expenses,,,,Total Operating Expenses,Operating Income Loss
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,,,,,Operating Income Loss,Income Loss before Capital Contributions Special and Extraordinary Items and Transfers
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Non Operating Revenues Expenses,,,Interest and Fiscal Charges,,Total Non Operating Revenues Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Non Operating Revenues Expenses,,,Gain on Sale of Capital Assets,,Total Non Operating Revenues Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Non Operating Revenues Expenses,,,Loss on Sale of Capital Assets,,Total Non Operating Revenues Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Non Operating Revenues Expenses,,,Interest,,Total Non Operating Revenues Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Non Operating Revenues Expenses,,,Operating Grants,,Total Non Operating Revenues Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Non Operating Revenues Expenses,,,Other Non Operating Revenues,,Total Non Operating Revenues Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Non Operating Revenues Expenses,,,Other Non Operating Expenses,,Total Non Operating Revenues Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Non Operating Revenues Expenses,,,,Total Non Operating Revenues Expenses,Income Loss before Capital Contributions Special and Extraordinary Items and Transfers
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,,,,,Income Loss before Capital Contributions Special and Extraordinary Items and Transfers,Change in Net Position
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,,,,Capital Contributions,,Change in Net Position
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,,,,Special Items,,Change in Net Position
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,,,,Extraordinary Items,,Change in Net Position
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,,,,Transfers In,,Change in Net Position
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,,,,Transfers Out,,Change in Net Position
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,,,,,Change in Net Position,Net Position End of Year
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,,,,Net Position Beginning of Year,,Net Position End of Year
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,,,,,Net Position End of Year,
